id|name|tagcount
1179|天使的伤痕|1
1180|黑暗之家|1
1181|贵志佑介|1
1182|天藤真|2
1183|高木彬光|5
1184|貫井德郎|2
1185|贯井德郎|1
1186|貫井徳郎|1
1187|康德的诅咒纯粹理性杀人事件|1
1188|康德|1
1189|康德的诅咒|1
1190|水天一色|4
1191|乱神馆记系列|1
1192|国内原创|1
1193|加纳朋子|1
1194|阿嘉莎.克里斯蒂|1
1195|狄克森|1
1196|折原一|7
1197|巫师神探|1
1198|冷笑话|1
1199|巫术|1
1200|压抑的寺院|1
1201|丹尼斯·勒翰|2
1202|神秘河　美国|1
1203|神秘河|1
1204|精神分析|1
1205|汉尼拔|1
1206|神灯|1
1207|帽子|1
1208|道尾秀介|26
1209|2005|1
1210|霊霬|1
1211|影子|1
1212|逢坂剛|1
1213|西班牙風情|1
1214|金榜名著|1
1215|古泉迦十|1
1216|火蛾|1
1217|小森健太朗|1
1218|变格|1
1219|日本推理四大奇书|3
1220|炫学|10
1221|陈舜臣|11
1222|陳舜臣|3
1223|幽靈列車|1
1224|玩乐书|1
1225|殊能将之|6
1226|法庭推理|5
1227|舞城王太郎|2
1228|煙、土或食物|1
1229|日文小说|2
1230|江户川乱步奖作品|1
1231|詭異|1
1232|神津恭介|1
1233|密室杀人|1
1234|感人|1
1235|常野物语|1
1236|光之国度|1
1237|无足迹诡计|1
1238|鮎川哲也獎|1
1239|芦辺拓|2
1240|芦边拓。|1
1241|杀人戏剧之芦边拓|1
1242|今邑彩|2
1243|加贺恭一郎系列|1
1244|三联书店|1
1245|绵羊破案记|1
1246|绵羊逻辑|1
1247|海渡英祐|1
1248|历史推理|6
1249|福尔摩斯学|2
1250|鸟羽亮|1
1251|鳥羽亮|1
1252|小栗虫太郎|4
1253|山姆·霍桑|1
1254|西泽保彦|13
1255|死了七次的男人|1
1256|SF推理|1
1257|巴斯克維尓的獵犬|1
1258|妖怪推理|13
1259|大陆旧版|23
1260|马丁•贝克|11
